ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783329979,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329983,iotprojectmpc-n8n-1,4.91%,419.5MiB,2.355GiB,17.40%
1783329983,iotprojectmpc-postgres-1,0.70%,60.5MiB,2.355GiB,2.51%
1783329988,iotprojectmpc-n8n-1,5.45%,419.9MiB,2.355GiB,17.42%
1783329988,iotprojectmpc-postgres-1,1.48%,60.54MiB,2.355GiB,2.51%
1783329992,iotprojectmpc-n8n-1,5.19%,420.4MiB,2.355GiB,17.43%
1783329992,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329997,iotprojectmpc-n8n-1,5.09%,420.3MiB,2.355GiB,17.43%
1783329997,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330002,iotprojectmpc-n8n-1,4.85%,421.2MiB,2.355GiB,17.47%
1783330002,iotprojectmpc-postgres-1,0.01%,60.5MiB,2.355GiB,2.51%
1783330006,iotprojectmpc-n8n-1,6.28%,420.7MiB,2.355GiB,17.45%
1783330006,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330010,iotprojectmpc-n8n-1,4.61%,421.1MiB,2.355GiB,17.47%
1783330010,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330014,iotprojectmpc-n8n-1,3.89%,421.6MiB,2.355GiB,17.48%
1783330014,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330019,iotprojectmpc-n8n-1,4.81%,421.9MiB,2.355GiB,17.50%
1783330019,iotprojectmpc-postgres-1,1.08%,60.52MiB,2.355GiB,2.51%
1783330023,iotprojectmpc-n8n-1,4.86%,422.5MiB,2.355GiB,17.52%
1783330023,iotprojectmpc-postgres-1,1.07%,60.5MiB,2.355GiB,2.51%
1783330028,iotprojectmpc-n8n-1,4.98%,425.2MiB,2.355GiB,17.64%
1783330028,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
