ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783367548,iotprojectmpc-postgres-1,0.03%,32.66MiB,2.355GiB,1.35%
1783367553,iotprojectmpc-n8n-1,0.59%,413.3MiB,2.355GiB,17.14%
1783367553,iotprojectmpc-postgres-1,0.04%,32.66MiB,2.355GiB,1.35%
1783367557,iotprojectmpc-n8n-1,0.40%,413.3MiB,2.355GiB,17.14%
1783367557,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367562,iotprojectmpc-n8n-1,0.22%,413.1MiB,2.355GiB,17.13%
1783367562,iotprojectmpc-postgres-1,0.74%,32.66MiB,2.355GiB,1.35%
1783367567,iotprojectmpc-n8n-1,1.77%,413.2MiB,2.355GiB,17.14%
1783367567,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367570,iotprojectmpc-n8n-1,3.73%,413.7MiB,2.355GiB,17.16%
1783367570,iotprojectmpc-postgres-1,1.67%,32.67MiB,2.355GiB,1.35%
1783367575,iotprojectmpc-n8n-1,1.03%,413.5MiB,2.355GiB,17.15%
1783367575,iotprojectmpc-postgres-1,1.30%,32.67MiB,2.355GiB,1.35%
1783367579,iotprojectmpc-n8n-1,1.61%,413.6MiB,2.355GiB,17.15%
1783367579,iotprojectmpc-postgres-1,0.01%,32.66MiB,2.355GiB,1.35%
1783367583,iotprojectmpc-n8n-1,1.11%,413.6MiB,2.355GiB,17.15%
1783367583,iotprojectmpc-postgres-1,0.60%,32.66MiB,2.355GiB,1.35%
1783367587,iotprojectmpc-n8n-1,1.82%,413.6MiB,2.355GiB,17.15%
1783367587,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367591,iotprojectmpc-n8n-1,0.23%,414MiB,2.355GiB,17.17%
1783367591,iotprojectmpc-postgres-1,1.14%,34.44MiB,2.355GiB,1.43%
1783367596,iotprojectmpc-n8n-1,1.46%,414MiB,2.355GiB,17.17%
1783367596,iotprojectmpc-postgres-1,0.00%,34.44MiB,2.355GiB,1.43%
1783367599,iotprojectmpc-n8n-1,2.46%,414MiB,2.355GiB,17.17%
1783367599,iotprojectmpc-postgres-1,1.44%,34.44MiB,2.355GiB,1.43%
1783367604,iotprojectmpc-n8n-1,3.62%,414.6MiB,2.355GiB,17.19%
1783367604,iotprojectmpc-postgres-1,1.52%,32.67MiB,2.355GiB,1.35%
1783367608,iotprojectmpc-n8n-1,1.35%,414.3MiB,2.355GiB,17.18%
1783367608,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783367613,iotprojectmpc-n8n-1,7.04%,414.4MiB,2.355GiB,17.19%
1783367613,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367618,iotprojectmpc-n8n-1,1.22%,415.8MiB,2.355GiB,17.24%
1783367618,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367622,iotprojectmpc-n8n-1,0.67%,415.8MiB,2.355GiB,17.24%
1783367622,iotprojectmpc-postgres-1,0.85%,32.76MiB,2.355GiB,1.36%
1783367627,iotprojectmpc-n8n-1,0.28%,415.5MiB,2.355GiB,17.23%
1783367627,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
