ts,pid,cpu_perc,rss_mb,command
1783373146,10125,0.1,1486.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373146,58925,0.0,66.8,/opt/homebrew/opt/ollama/bin/ollama
1783373148,10125,4.2,1505.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373148,58925,0.3,67.1,/opt/homebrew/opt/ollama/bin/ollama
1783373150,10125,7.6,1533.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373150,58925,21.3,67.2,/opt/homebrew/opt/ollama/bin/ollama
1783373152,10125,0.2,1533.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373152,58925,0.0,67.2,/opt/homebrew/opt/ollama/bin/ollama
1783373155,10125,0.1,1533.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373155,58925,0.0,67.2,/opt/homebrew/opt/ollama/bin/ollama
1783373157,10125,9.3,1553.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373157,58925,0.4,67.2,/opt/homebrew/opt/ollama/bin/ollama
1783373159,10125,4.6,1586.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373159,58925,55.4,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373161,10125,10.8,1588.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373161,58925,0.4,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373163,10125,0.9,1627.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373163,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373165,10125,0.2,1627.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373165,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373167,10125,0.3,1642.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373167,58925,4.2,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373169,10125,1.8,1676.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373169,58925,3.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373171,10125,0.1,1676.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373171,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373173,10125,0.3,1676.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373173,58925,4.4,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373175,10125,9.4,1708.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373175,58925,1.4,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373177,10125,2.7,1738.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373177,58925,22.6,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373179,10125,12.1,1758.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373179,58925,0.3,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373181,10125,5.0,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373181,58925,55.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373183,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373183,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373185,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373185,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373187,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373187,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373189,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373189,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373191,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373191,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373193,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373193,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373195,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373195,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373197,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373197,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373199,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373199,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373202,10125,0.2,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373202,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373204,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373204,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373206,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373206,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373208,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373208,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373210,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373210,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373212,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373212,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373214,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373214,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373216,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373216,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373218,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373218,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373220,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373220,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373222,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373222,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373224,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373224,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373226,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373226,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373228,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373228,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373230,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373230,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373232,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373232,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373234,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373234,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373236,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373236,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373238,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373238,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373240,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373240,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373242,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373242,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373244,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373244,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373247,10125,0.2,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373247,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373249,10125,0.1,1776.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373249,58925,0.0,67.3,/opt/homebrew/opt/ollama/bin/ollama
1783373251,10125,1.0,1779.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373251,58925,2.8,67.4,/opt/homebrew/opt/ollama/bin/ollama
1783373253,10125,7.7,1781.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373253,58925,0.3,67.4,/opt/homebrew/opt/ollama/bin/ollama
