ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783331370,iotprojectmpc-postgres-1,0.01%,60.6MiB,2.355GiB,2.51%
1783331375,iotprojectmpc-n8n-1,1.98%,408.7MiB,2.355GiB,16.95%
1783331375,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331379,iotprojectmpc-n8n-1,3.11%,408.8MiB,2.355GiB,16.96%
1783331379,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331384,iotprojectmpc-n8n-1,3.41%,408.7MiB,2.355GiB,16.95%
1783331384,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331389,iotprojectmpc-n8n-1,0.52%,411.4MiB,2.355GiB,17.06%
1783331389,iotprojectmpc-postgres-1,2.78%,62.38MiB,2.355GiB,2.59%
1783331393,iotprojectmpc-n8n-1,3.01%,411.2MiB,2.355GiB,17.06%
1783331393,iotprojectmpc-postgres-1,5.99%,62.38MiB,2.355GiB,2.59%
1783331397,iotprojectmpc-n8n-1,2.04%,411.2MiB,2.355GiB,17.06%
1783331397,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331401,iotprojectmpc-n8n-1,2.17%,411.1MiB,2.355GiB,17.05%
1783331401,iotprojectmpc-postgres-1,0.02%,60.59MiB,2.355GiB,2.51%
1783331406,iotprojectmpc-n8n-1,3.03%,411.1MiB,2.355GiB,17.05%
1783331406,iotprojectmpc-postgres-1,0.08%,60.59MiB,2.355GiB,2.51%
1783331410,iotprojectmpc-n8n-1,1.01%,411.6MiB,2.355GiB,17.07%
1783331410,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331414,iotprojectmpc-n8n-1,7.88%,409.3MiB,2.355GiB,16.98%
1783331414,iotprojectmpc-postgres-1,17.08%,60.59MiB,2.355GiB,2.51%
1783331418,iotprojectmpc-n8n-1,0.44%,409.3MiB,2.355GiB,16.98%
1783331418,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331422,iotprojectmpc-n8n-1,0.17%,409.6MiB,2.355GiB,16.99%
1783331422,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331426,iotprojectmpc-n8n-1,0.77%,409.6MiB,2.355GiB,16.99%
1783331426,iotprojectmpc-postgres-1,0.02%,60.59MiB,2.355GiB,2.51%
1783331431,iotprojectmpc-n8n-1,3.71%,409.4MiB,2.355GiB,16.98%
1783331431,iotprojectmpc-postgres-1,0.08%,60.6MiB,2.355GiB,2.51%
1783331435,iotprojectmpc-n8n-1,1.38%,409.4MiB,2.355GiB,16.98%
1783331435,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331440,iotprojectmpc-n8n-1,2.87%,409.4MiB,2.355GiB,16.98%
1783331440,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331445,iotprojectmpc-n8n-1,1.67%,409.6MiB,2.355GiB,16.99%
1783331445,iotprojectmpc-postgres-1,4.01%,60.62MiB,2.355GiB,2.51%
1783331449,iotprojectmpc-n8n-1,1.54%,409.6MiB,2.355GiB,16.99%
1783331449,iotprojectmpc-postgres-1,3.14%,60.66MiB,2.355GiB,2.52%
1783331454,iotprojectmpc-n8n-1,0.93%,409.4MiB,2.355GiB,16.98%
1783331454,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331458,iotprojectmpc-n8n-1,8.85%,411.4MiB,2.355GiB,17.06%
1783331458,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331463,iotprojectmpc-n8n-1,2.31%,411.4MiB,2.355GiB,17.06%
1783331463,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331467,iotprojectmpc-n8n-1,2.24%,411.9MiB,2.355GiB,17.08%
1783331467,iotprojectmpc-postgres-1,0.72%,60.59MiB,2.355GiB,2.51%
1783331472,iotprojectmpc-n8n-1,3.61%,411.6MiB,2.355GiB,17.07%
1783331472,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331475,iotprojectmpc-n8n-1,1.48%,412.1MiB,2.355GiB,17.09%
1783331475,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331480,iotprojectmpc-n8n-1,4.49%,411.6MiB,2.355GiB,17.07%
1783331480,iotprojectmpc-postgres-1,3.10%,60.59MiB,2.355GiB,2.51%
1783331484,iotprojectmpc-n8n-1,2.10%,411.6MiB,2.355GiB,17.07%
1783331484,iotprojectmpc-postgres-1,3.71%,60.59MiB,2.355GiB,2.51%
1783331488,iotprojectmpc-n8n-1,15.84%,413.1MiB,2.355GiB,17.13%
1783331488,iotprojectmpc-postgres-1,0.12%,60.59MiB,2.355GiB,2.51%
1783331493,iotprojectmpc-n8n-1,2.89%,413MiB,2.355GiB,17.13%
1783331493,iotprojectmpc-postgres-1,0.05%,60.59MiB,2.355GiB,2.51%
1783331497,iotprojectmpc-n8n-1,1.10%,413.2MiB,2.355GiB,17.14%
1783331497,iotprojectmpc-postgres-1,0.06%,60.59MiB,2.355GiB,2.51%
1783331502,iotprojectmpc-n8n-1,5.75%,413.2MiB,2.355GiB,17.14%
1783331502,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331506,iotprojectmpc-n8n-1,1.31%,413.2MiB,2.355GiB,17.14%
1783331506,iotprojectmpc-postgres-1,2.69%,60.61MiB,2.355GiB,2.51%
1783331510,iotprojectmpc-n8n-1,1.47%,413.2MiB,2.355GiB,17.14%
1783331510,iotprojectmpc-postgres-1,3.88%,60.62MiB,2.355GiB,2.51%
1783331515,iotprojectmpc-n8n-1,0.97%,413.4MiB,2.355GiB,17.15%
1783331515,iotprojectmpc-postgres-1,4.73%,60.6MiB,2.355GiB,2.51%
1783331519,iotprojectmpc-n8n-1,1.47%,413.1MiB,2.355GiB,17.14%
1783331519,iotprojectmpc-postgres-1,0.09%,60.59MiB,2.355GiB,2.51%
1783331524,iotprojectmpc-n8n-1,3.73%,413.6MiB,2.355GiB,17.15%
1783331524,iotprojectmpc-postgres-1,4.66%,60.59MiB,2.355GiB,2.51%
1783331529,iotprojectmpc-n8n-1,2.80%,413.3MiB,2.355GiB,17.14%
1783331529,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331533,iotprojectmpc-n8n-1,2.27%,413.3MiB,2.355GiB,17.14%
1783331533,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331537,iotprojectmpc-n8n-1,3.65%,413.7MiB,2.355GiB,17.16%
1783331537,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331542,iotprojectmpc-n8n-1,1.65%,413.4MiB,2.355GiB,17.15%
1783331542,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331545,iotprojectmpc-n8n-1,1.17%,413.7MiB,2.355GiB,17.16%
1783331545,iotprojectmpc-postgres-1,1.93%,60.6MiB,2.355GiB,2.51%
1783331550,iotprojectmpc-n8n-1,1.88%,413.2MiB,2.355GiB,17.14%
1783331550,iotprojectmpc-postgres-1,0.34%,60.59MiB,2.355GiB,2.51%
1783331554,iotprojectmpc-n8n-1,2.37%,413.7MiB,2.355GiB,17.16%
1783331554,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331558,iotprojectmpc-n8n-1,1.72%,413.4MiB,2.355GiB,17.15%
1783331558,iotprojectmpc-postgres-1,0.01%,60.59MiB,2.355GiB,2.51%
1783331563,iotprojectmpc-n8n-1,2.42%,413.4MiB,2.355GiB,17.15%
1783331563,iotprojectmpc-postgres-1,0.03%,60.59MiB,2.355GiB,2.51%
1783331567,iotprojectmpc-n8n-1,0.76%,413.5MiB,2.355GiB,17.15%
1783331567,iotprojectmpc-postgres-1,0.01%,60.59MiB,2.355GiB,2.51%
1783331572,iotprojectmpc-n8n-1,2.92%,413.4MiB,2.355GiB,17.15%
1783331572,iotprojectmpc-postgres-1,3.25%,60.59MiB,2.355GiB,2.51%
1783331576,iotprojectmpc-n8n-1,2.67%,413.2MiB,2.355GiB,17.14%
1783331576,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331579,iotprojectmpc-n8n-1,5.67%,413.2MiB,2.355GiB,17.14%
1783331579,iotprojectmpc-postgres-1,0.10%,60.6MiB,2.355GiB,2.51%
1783331584,iotprojectmpc-n8n-1,1.79%,413.7MiB,2.355GiB,17.16%
1783331584,iotprojectmpc-postgres-1,0.88%,60.62MiB,2.355GiB,2.51%
1783331588,iotprojectmpc-n8n-1,3.59%,413.5MiB,2.355GiB,17.15%
1783331588,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331593,iotprojectmpc-n8n-1,1.07%,413.8MiB,2.355GiB,17.16%
1783331593,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331597,iotprojectmpc-n8n-1,1.33%,413.5MiB,2.355GiB,17.15%
1783331597,iotprojectmpc-postgres-1,0.01%,60.6MiB,2.355GiB,2.51%
1783331602,iotprojectmpc-n8n-1,2.26%,413.3MiB,2.355GiB,17.14%
1783331602,iotprojectmpc-postgres-1,3.66%,60.6MiB,2.355GiB,2.51%
1783331606,iotprojectmpc-n8n-1,0.96%,413.8MiB,2.355GiB,17.16%
1783331606,iotprojectmpc-postgres-1,3.57%,62.38MiB,2.355GiB,2.59%
1783331609,iotprojectmpc-n8n-1,0.20%,413.8MiB,2.355GiB,17.16%
1783331609,iotprojectmpc-postgres-1,0.00%,62.38MiB,2.355GiB,2.59%
1783331613,iotprojectmpc-n8n-1,2.12%,414.1MiB,2.355GiB,17.17%
1783331613,iotprojectmpc-postgres-1,0.72%,60.6MiB,2.355GiB,2.51%
1783331617,iotprojectmpc-n8n-1,0.33%,414.4MiB,2.355GiB,17.19%
1783331617,iotprojectmpc-postgres-1,1.34%,60.64MiB,2.355GiB,2.51%
1783331620,iotprojectmpc-n8n-1,8.82%,414.9MiB,2.355GiB,17.21%
1783331620,iotprojectmpc-postgres-1,0.04%,60.61MiB,2.355GiB,2.51%
1783331624,iotprojectmpc-n8n-1,2.16%,415.9MiB,2.355GiB,17.25%
1783331624,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331628,iotprojectmpc-n8n-1,0.50%,416.2MiB,2.355GiB,17.26%
1783331628,iotprojectmpc-postgres-1,2.17%,60.63MiB,2.355GiB,2.51%
1783331632,iotprojectmpc-n8n-1,2.86%,416.3MiB,2.355GiB,17.26%
1783331632,iotprojectmpc-postgres-1,2.70%,60.62MiB,2.355GiB,2.51%
1783331637,iotprojectmpc-n8n-1,0.32%,416MiB,2.355GiB,17.26%
1783331637,iotprojectmpc-postgres-1,3.88%,60.62MiB,2.355GiB,2.51%
1783331641,iotprojectmpc-n8n-1,1.45%,416.1MiB,2.355GiB,17.26%
1783331641,iotprojectmpc-postgres-1,0.05%,60.61MiB,2.355GiB,2.51%
1783331646,iotprojectmpc-n8n-1,1.33%,416.4MiB,2.355GiB,17.27%
1783331646,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331649,iotprojectmpc-n8n-1,4.35%,416.2MiB,2.355GiB,17.26%
1783331649,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331654,iotprojectmpc-n8n-1,1.31%,416.4MiB,2.355GiB,17.27%
1783331654,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331658,iotprojectmpc-n8n-1,2.47%,416.4MiB,2.355GiB,17.27%
1783331658,iotprojectmpc-postgres-1,2.20%,60.62MiB,2.355GiB,2.51%
1783331662,iotprojectmpc-n8n-1,1.63%,416.4MiB,2.355GiB,17.27%
1783331662,iotprojectmpc-postgres-1,0.04%,60.62MiB,2.355GiB,2.51%
1783331666,iotprojectmpc-n8n-1,4.60%,416.4MiB,2.355GiB,17.27%
1783331666,iotprojectmpc-postgres-1,1.60%,60.87MiB,2.355GiB,2.52%
1783331670,iotprojectmpc-n8n-1,3.90%,416.2MiB,2.355GiB,17.26%
1783331670,iotprojectmpc-postgres-1,0.02%,60.61MiB,2.355GiB,2.51%
1783331675,iotprojectmpc-n8n-1,2.86%,416.5MiB,2.355GiB,17.27%
1783331675,iotprojectmpc-postgres-1,0.03%,60.61MiB,2.355GiB,2.51%
