ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783368642,iotprojectmpc-n8n-1,119.65%,514.6MiB,2.355GiB,21.34%
1783368642,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783368647,iotprojectmpc-n8n-1,7.54%,514.4MiB,2.355GiB,21.34%
1783368647,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783368652,iotprojectmpc-n8n-1,3.08%,515.8MiB,2.355GiB,21.39%
1783368652,iotprojectmpc-postgres-1,0.43%,32.68MiB,2.355GiB,1.36%
1783368656,iotprojectmpc-n8n-1,3.01%,517.4MiB,2.355GiB,21.46%
1783368656,iotprojectmpc-postgres-1,0.73%,34.51MiB,2.355GiB,1.43%
1783368661,iotprojectmpc-n8n-1,3.52%,399.9MiB,2.355GiB,16.58%
1783368661,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368665,iotprojectmpc-n8n-1,10.03%,402.6MiB,2.355GiB,16.70%
1783368665,iotprojectmpc-postgres-1,3.74%,34.46MiB,2.355GiB,1.43%
1783368670,iotprojectmpc-n8n-1,5.08%,392.5MiB,2.355GiB,16.28%
1783368670,iotprojectmpc-postgres-1,2.94%,34.49MiB,2.355GiB,1.43%
1783368675,iotprojectmpc-n8n-1,3.50%,393.2MiB,2.355GiB,16.31%
1783368675,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783368679,iotprojectmpc-n8n-1,1.17%,396.3MiB,2.355GiB,16.44%
1783368679,iotprojectmpc-postgres-1,2.22%,34.46MiB,2.355GiB,1.43%
1783368684,iotprojectmpc-n8n-1,2.29%,396.2MiB,2.355GiB,16.43%
1783368684,iotprojectmpc-postgres-1,0.03%,34.45MiB,2.355GiB,1.43%
1783368688,iotprojectmpc-n8n-1,8.14%,397.7MiB,2.355GiB,16.50%
1783368688,iotprojectmpc-postgres-1,0.18%,32.68MiB,2.355GiB,1.36%
1783368692,iotprojectmpc-n8n-1,0.57%,397.6MiB,2.355GiB,16.49%
1783368692,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368697,iotprojectmpc-n8n-1,2.59%,398.3MiB,2.355GiB,16.52%
1783368697,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368701,iotprojectmpc-n8n-1,3.31%,397.7MiB,2.355GiB,16.49%
1783368701,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368706,iotprojectmpc-n8n-1,2.51%,398MiB,2.355GiB,16.51%
1783368706,iotprojectmpc-postgres-1,3.55%,32.68MiB,2.355GiB,1.36%
1783368710,iotprojectmpc-n8n-1,2.75%,398.3MiB,2.355GiB,16.52%
1783368710,iotprojectmpc-postgres-1,1.73%,32.68MiB,2.355GiB,1.36%
1783368714,iotprojectmpc-n8n-1,2.48%,398.3MiB,2.355GiB,16.52%
1783368714,iotprojectmpc-postgres-1,0.34%,32.67MiB,2.355GiB,1.36%
1783368719,iotprojectmpc-n8n-1,3.21%,397.9MiB,2.355GiB,16.50%
1783368719,iotprojectmpc-postgres-1,0.33%,32.67MiB,2.355GiB,1.36%
1783368724,iotprojectmpc-n8n-1,1.06%,398.7MiB,2.355GiB,16.54%
1783368724,iotprojectmpc-postgres-1,0.02%,34.46MiB,2.355GiB,1.43%
1783368728,iotprojectmpc-n8n-1,1.12%,398.9MiB,2.355GiB,16.54%
1783368728,iotprojectmpc-postgres-1,0.02%,34.46MiB,2.355GiB,1.43%
1783368733,iotprojectmpc-n8n-1,11.44%,400.4MiB,2.355GiB,16.61%
1783368733,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368737,iotprojectmpc-n8n-1,1.17%,400.3MiB,2.355GiB,16.60%
1783368737,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368742,iotprojectmpc-n8n-1,0.47%,400.4MiB,2.355GiB,16.60%
1783368742,iotprojectmpc-postgres-1,2.76%,32.67MiB,2.355GiB,1.36%
1783368747,iotprojectmpc-n8n-1,0.35%,400.1MiB,2.355GiB,16.60%
1783368747,iotprojectmpc-postgres-1,1.57%,32.68MiB,2.355GiB,1.36%
1783368750,iotprojectmpc-n8n-1,2.29%,400.2MiB,2.355GiB,16.60%
1783368750,iotprojectmpc-postgres-1,0.10%,32.67MiB,2.355GiB,1.36%
1783368755,iotprojectmpc-n8n-1,121.65%,417.9MiB,2.355GiB,17.33%
1783368755,iotprojectmpc-postgres-1,0.02%,32.67MiB,2.355GiB,1.36%
1783368759,iotprojectmpc-n8n-1,31.74%,442.5MiB,2.355GiB,18.35%
1783368759,iotprojectmpc-postgres-1,0.11%,32.67MiB,2.355GiB,1.36%
1783368763,iotprojectmpc-n8n-1,3.83%,485.7MiB,2.355GiB,20.14%
1783368763,iotprojectmpc-postgres-1,0.95%,32.77MiB,2.355GiB,1.36%
1783368768,iotprojectmpc-n8n-1,0.60%,486.1MiB,2.355GiB,20.16%
1783368768,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783368773,iotprojectmpc-n8n-1,2.74%,485.9MiB,2.355GiB,20.15%
1783368773,iotprojectmpc-postgres-1,0.03%,34.46MiB,2.355GiB,1.43%
1783368776,iotprojectmpc-n8n-1,1.05%,486.3MiB,2.355GiB,20.17%
1783368776,iotprojectmpc-postgres-1,0.04%,32.68MiB,2.355GiB,1.36%
1783368781,iotprojectmpc-n8n-1,2.17%,486.4MiB,2.355GiB,20.18%
1783368781,iotprojectmpc-postgres-1,2.82%,34.47MiB,2.355GiB,1.43%
1783368785,iotprojectmpc-n8n-1,3.92%,488MiB,2.355GiB,20.24%
1783368785,iotprojectmpc-postgres-1,0.05%,34.44MiB,2.355GiB,1.43%
1783368790,iotprojectmpc-n8n-1,2.78%,488.3MiB,2.355GiB,20.25%
1783368790,iotprojectmpc-postgres-1,1.87%,34.49MiB,2.355GiB,1.43%
1783368795,iotprojectmpc-n8n-1,6.43%,488.2MiB,2.355GiB,20.25%
1783368795,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368798,iotprojectmpc-n8n-1,1.26%,488.5MiB,2.355GiB,20.26%
1783368798,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368803,iotprojectmpc-n8n-1,0.68%,488.5MiB,2.355GiB,20.26%
1783368803,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368807,iotprojectmpc-n8n-1,0.76%,488.6MiB,2.355GiB,20.26%
1783368807,iotprojectmpc-postgres-1,2.80%,32.75MiB,2.355GiB,1.36%
1783368812,iotprojectmpc-n8n-1,1.31%,488.4MiB,2.355GiB,20.26%
1783368812,iotprojectmpc-postgres-1,2.87%,32.67MiB,2.355GiB,1.36%
1783368817,iotprojectmpc-n8n-1,2.78%,488.7MiB,2.355GiB,20.27%
1783368817,iotprojectmpc-postgres-1,1.72%,32.68MiB,2.355GiB,1.36%
1783368821,iotprojectmpc-n8n-1,3.33%,488.5MiB,2.355GiB,20.26%
1783368821,iotprojectmpc-postgres-1,0.03%,32.68MiB,2.355GiB,1.36%
1783368826,iotprojectmpc-n8n-1,1.77%,488.7MiB,2.355GiB,20.27%
1783368826,iotprojectmpc-postgres-1,0.02%,32.67MiB,2.355GiB,1.36%
1783368829,iotprojectmpc-n8n-1,24.01%,488.7MiB,2.355GiB,20.27%
1783368829,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368834,iotprojectmpc-n8n-1,2.86%,488.9MiB,2.355GiB,20.28%
1783368834,iotprojectmpc-postgres-1,0.10%,34.45MiB,2.355GiB,1.43%
1783368839,iotprojectmpc-n8n-1,0.35%,488.7MiB,2.355GiB,20.27%
1783368839,iotprojectmpc-postgres-1,1.19%,34.5MiB,2.355GiB,1.43%
1783368843,iotprojectmpc-n8n-1,0.37%,488.7MiB,2.355GiB,20.27%
1783368843,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368848,iotprojectmpc-n8n-1,1.52%,488.7MiB,2.355GiB,20.27%
1783368848,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368852,iotprojectmpc-n8n-1,1.28%,489MiB,2.355GiB,20.28%
1783368852,iotprojectmpc-postgres-1,0.04%,32.68MiB,2.355GiB,1.36%
1783368857,iotprojectmpc-n8n-1,1.50%,489MiB,2.355GiB,20.28%
1783368857,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368862,iotprojectmpc-n8n-1,0.28%,488.7MiB,2.355GiB,20.27%
1783368862,iotprojectmpc-postgres-1,2.96%,34.47MiB,2.355GiB,1.43%
1783368866,iotprojectmpc-n8n-1,1.80%,489.2MiB,2.355GiB,20.29%
1783368866,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368871,iotprojectmpc-n8n-1,2.29%,414MiB,2.355GiB,17.17%
1783368871,iotprojectmpc-postgres-1,0.02%,32.67MiB,2.355GiB,1.36%
1783368875,iotprojectmpc-n8n-1,0.33%,413.5MiB,2.355GiB,17.15%
1783368875,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368880,iotprojectmpc-n8n-1,12.57%,416.2MiB,2.355GiB,17.26%
1783368880,iotprojectmpc-postgres-1,2.33%,32.68MiB,2.355GiB,1.36%
1783368884,iotprojectmpc-n8n-1,0.93%,416.6MiB,2.355GiB,17.28%
1783368884,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368889,iotprojectmpc-n8n-1,0.31%,416.5MiB,2.355GiB,17.28%
1783368889,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368894,iotprojectmpc-n8n-1,0.34%,416.5MiB,2.355GiB,17.28%
1783368894,iotprojectmpc-postgres-1,1.87%,32.67MiB,2.355GiB,1.36%
1783368898,iotprojectmpc-n8n-1,1.88%,417.7MiB,2.355GiB,17.32%
1783368898,iotprojectmpc-postgres-1,1.60%,34.93MiB,2.355GiB,1.45%
1783368903,iotprojectmpc-n8n-1,1.29%,417.6MiB,2.355GiB,17.32%
1783368903,iotprojectmpc-postgres-1,0.79%,34.45MiB,2.355GiB,1.43%
1783368907,iotprojectmpc-n8n-1,1.57%,417.6MiB,2.355GiB,17.32%
1783368907,iotprojectmpc-postgres-1,0.51%,32.68MiB,2.355GiB,1.36%
1783368912,iotprojectmpc-n8n-1,2.32%,417.7MiB,2.355GiB,17.32%
1783368912,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368917,iotprojectmpc-n8n-1,1.72%,417.6MiB,2.355GiB,17.32%
1783368917,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368921,iotprojectmpc-n8n-1,0.17%,417.4MiB,2.355GiB,17.31%
1783368921,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368926,iotprojectmpc-n8n-1,1.61%,417.5MiB,2.355GiB,17.32%
1783368926,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368931,iotprojectmpc-n8n-1,3.41%,418MiB,2.355GiB,17.34%
1783368931,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368935,iotprojectmpc-n8n-1,1.85%,417.8MiB,2.355GiB,17.33%
1783368935,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368940,iotprojectmpc-n8n-1,2.38%,417.5MiB,2.355GiB,17.32%
1783368940,iotprojectmpc-postgres-1,3.56%,32.7MiB,2.355GiB,1.36%
1783368945,iotprojectmpc-n8n-1,2.82%,417.6MiB,2.355GiB,17.32%
1783368945,iotprojectmpc-postgres-1,3.78%,32.68MiB,2.355GiB,1.36%
1783368949,iotprojectmpc-n8n-1,0.96%,417.5MiB,2.355GiB,17.32%
1783368949,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368954,iotprojectmpc-n8n-1,0.98%,417.6MiB,2.355GiB,17.32%
1783368954,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368957,iotprojectmpc-n8n-1,0.93%,417.8MiB,2.355GiB,17.33%
1783368957,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368962,iotprojectmpc-n8n-1,0.27%,417.6MiB,2.355GiB,17.32%
1783368962,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368966,iotprojectmpc-n8n-1,2.02%,418MiB,2.355GiB,17.34%
1783368966,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783368970,iotprojectmpc-n8n-1,2.17%,417.6MiB,2.355GiB,17.32%
1783368970,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368975,iotprojectmpc-n8n-1,45.61%,414.7MiB,2.355GiB,17.20%
