ts,pid,cpu_perc,rss_mb,command
1783329062,58925,0.0,10.3,/opt/homebrew/opt/ollama/bin/ollama
1783329062,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329064,58925,0.0,10.3,/opt/homebrew/opt/ollama/bin/ollama
1783329064,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329066,58925,0.0,10.3,/opt/homebrew/opt/ollama/bin/ollama
1783329066,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329068,58925,0.0,10.3,/opt/homebrew/opt/ollama/bin/ollama
1783329068,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329071,58925,0.0,10.3,/opt/homebrew/opt/ollama/bin/ollama
1783329071,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329073,58925,1.9,27.6,/opt/homebrew/opt/ollama/bin/ollama
1783329073,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329075,58925,0.0,27.6,/opt/homebrew/opt/ollama/bin/ollama
1783329075,60034,0.1,75.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329077,58925,0.0,26.5,/opt/homebrew/opt/ollama/bin/ollama
1783329077,60034,0.1,75.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329079,58925,0.0,26.5,/opt/homebrew/opt/ollama/bin/ollama
1783329079,60034,0.1,75.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329081,58925,0.1,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783329081,60034,0.1,129.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329083,58925,0.1,50.0,/opt/homebrew/opt/ollama/bin/ollama
1783329083,60034,0.1,201.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329085,58925,0.0,50.0,/opt/homebrew/opt/ollama/bin/ollama
1783329085,60034,1.2,205.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329087,58925,0.0,50.0,/opt/homebrew/opt/ollama/bin/ollama
