ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783374105,iotprojectmpc-postgres-1,0.03%,32.71MiB,2.355GiB,1.36%
1783374109,iotprojectmpc-n8n-1,0.48%,416.4MiB,2.355GiB,17.27%
1783374109,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374114,iotprojectmpc-n8n-1,15.61%,417MiB,2.355GiB,17.30%
1783374114,iotprojectmpc-postgres-1,0.15%,32.71MiB,2.355GiB,1.36%
1783374118,iotprojectmpc-n8n-1,2.96%,416.6MiB,2.355GiB,17.28%
1783374118,iotprojectmpc-postgres-1,0.23%,32.71MiB,2.355GiB,1.36%
1783374122,iotprojectmpc-n8n-1,11.57%,416.6MiB,2.355GiB,17.28%
1783374122,iotprojectmpc-postgres-1,22.44%,32.71MiB,2.355GiB,1.36%
1783374126,iotprojectmpc-n8n-1,19.21%,416.6MiB,2.355GiB,17.28%
1783374126,iotprojectmpc-postgres-1,0.40%,32.71MiB,2.355GiB,1.36%
1783374130,iotprojectmpc-n8n-1,22.09%,416.9MiB,2.355GiB,17.29%
1783374130,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374135,iotprojectmpc-n8n-1,12.34%,416.7MiB,2.355GiB,17.28%
1783374135,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374140,iotprojectmpc-n8n-1,9.03%,417.1MiB,2.355GiB,17.30%
1783374140,iotprojectmpc-postgres-1,4.63%,32.71MiB,2.355GiB,1.36%
1783374145,iotprojectmpc-n8n-1,12.45%,417.2MiB,2.355GiB,17.30%
1783374145,iotprojectmpc-postgres-1,27.12%,32.74MiB,2.355GiB,1.36%
1783374150,iotprojectmpc-n8n-1,16.77%,417.2MiB,2.355GiB,17.30%
1783374150,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374155,iotprojectmpc-n8n-1,11.57%,417.2MiB,2.355GiB,17.30%
1783374155,iotprojectmpc-postgres-1,27.58%,32.71MiB,2.355GiB,1.36%
1783374159,iotprojectmpc-n8n-1,6.77%,416.8MiB,2.355GiB,17.29%
1783374159,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374163,iotprojectmpc-n8n-1,28.11%,417.1MiB,2.355GiB,17.30%
1783374163,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374167,iotprojectmpc-n8n-1,4.59%,418.5MiB,2.355GiB,17.36%
1783374167,iotprojectmpc-postgres-1,1.58%,34.45MiB,2.355GiB,1.43%
1783374172,iotprojectmpc-n8n-1,4.90%,418.1MiB,2.355GiB,17.34%
1783374172,iotprojectmpc-postgres-1,0.13%,34.46MiB,2.355GiB,1.43%
1783374177,iotprojectmpc-n8n-1,10.66%,418.8MiB,2.355GiB,17.37%
1783374177,iotprojectmpc-postgres-1,0.22%,32.71MiB,2.355GiB,1.36%
1783374182,iotprojectmpc-n8n-1,9.27%,418.6MiB,2.355GiB,17.36%
1783374182,iotprojectmpc-postgres-1,0.05%,32.71MiB,2.355GiB,1.36%
1783374187,iotprojectmpc-n8n-1,10.99%,418.4MiB,2.355GiB,17.35%
1783374187,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374191,iotprojectmpc-n8n-1,6.47%,418.6MiB,2.355GiB,17.36%
1783374191,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374196,iotprojectmpc-n8n-1,27.36%,419MiB,2.355GiB,17.38%
1783374196,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374200,iotprojectmpc-n8n-1,5.70%,419.5MiB,2.355GiB,17.40%
1783374200,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374205,iotprojectmpc-n8n-1,9.66%,419.6MiB,2.355GiB,17.40%
1783374205,iotprojectmpc-postgres-1,3.54%,32.71MiB,2.355GiB,1.36%
1783374209,iotprojectmpc-n8n-1,5.17%,419.8MiB,2.355GiB,17.41%
1783374209,iotprojectmpc-postgres-1,7.06%,32.74MiB,2.355GiB,1.36%
1783374213,iotprojectmpc-n8n-1,9.87%,419.6MiB,2.355GiB,17.40%
1783374213,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374218,iotprojectmpc-n8n-1,6.09%,420.1MiB,2.355GiB,17.42%
1783374218,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374223,iotprojectmpc-n8n-1,4.54%,419.9MiB,2.355GiB,17.41%
1783374223,iotprojectmpc-postgres-1,0.11%,32.71MiB,2.355GiB,1.36%
1783374227,iotprojectmpc-n8n-1,14.74%,419.8MiB,2.355GiB,17.41%
1783374227,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374232,iotprojectmpc-n8n-1,4.09%,420MiB,2.355GiB,17.42%
1783374232,iotprojectmpc-postgres-1,0.04%,32.71MiB,2.355GiB,1.36%
1783374237,iotprojectmpc-n8n-1,9.06%,420.1MiB,2.355GiB,17.42%
1783374237,iotprojectmpc-postgres-1,0.26%,32.71MiB,2.355GiB,1.36%
1783374242,iotprojectmpc-n8n-1,0.87%,420.2MiB,2.355GiB,17.43%
1783374242,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374247,iotprojectmpc-n8n-1,0.59%,420.2MiB,2.355GiB,17.43%
1783374247,iotprojectmpc-postgres-1,0.00%,32.77MiB,2.355GiB,1.36%
1783374251,iotprojectmpc-n8n-1,0.33%,420.2MiB,2.355GiB,17.43%
1783374251,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374256,iotprojectmpc-n8n-1,0.22%,419.9MiB,2.355GiB,17.41%
1783374256,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374260,iotprojectmpc-n8n-1,0.48%,419.9MiB,2.355GiB,17.42%
1783374260,iotprojectmpc-postgres-1,1.51%,32.71MiB,2.355GiB,1.36%
1783374265,iotprojectmpc-n8n-1,1.62%,420.2MiB,2.355GiB,17.43%
1783374265,iotprojectmpc-postgres-1,1.14%,32.71MiB,2.355GiB,1.36%
1783374270,iotprojectmpc-n8n-1,1.17%,420.3MiB,2.355GiB,17.43%
1783374270,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374273,iotprojectmpc-n8n-1,1.61%,420.4MiB,2.355GiB,17.44%
1783374273,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374278,iotprojectmpc-n8n-1,1.03%,420.5MiB,2.355GiB,17.44%
1783374278,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374282,iotprojectmpc-n8n-1,0.53%,420.7MiB,2.355GiB,17.45%
