ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783373315,iotprojectmpc-n8n-1,0.62%,508MiB,2.355GiB,21.07%
1783373315,iotprojectmpc-postgres-1,0.46%,34.45MiB,2.355GiB,1.43%
1783373320,iotprojectmpc-n8n-1,6.39%,487.8MiB,2.355GiB,20.23%
1783373320,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783373324,iotprojectmpc-n8n-1,0.89%,488.1MiB,2.355GiB,20.24%
1783373324,iotprojectmpc-postgres-1,0.40%,32.69MiB,2.355GiB,1.36%
1783373329,iotprojectmpc-n8n-1,13.14%,488.6MiB,2.355GiB,20.27%
1783373329,iotprojectmpc-postgres-1,0.00%,32.69MiB,2.355GiB,1.36%
1783373334,iotprojectmpc-n8n-1,5.98%,404.6MiB,2.355GiB,16.78%
1783373334,iotprojectmpc-postgres-1,0.02%,34.47MiB,2.355GiB,1.43%
1783373338,iotprojectmpc-n8n-1,14.44%,410.6MiB,2.355GiB,17.03%
1783373338,iotprojectmpc-postgres-1,0.16%,34.47MiB,2.355GiB,1.43%
1783373343,iotprojectmpc-n8n-1,6.79%,411.3MiB,2.355GiB,17.06%
1783373343,iotprojectmpc-postgres-1,1.67%,34.48MiB,2.355GiB,1.43%
1783373347,iotprojectmpc-n8n-1,4.67%,411.4MiB,2.355GiB,17.06%
1783373347,iotprojectmpc-postgres-1,0.00%,34.47MiB,2.355GiB,1.43%
1783373352,iotprojectmpc-n8n-1,5.61%,412.7MiB,2.355GiB,17.12%
1783373352,iotprojectmpc-postgres-1,0.03%,34.46MiB,2.355GiB,1.43%
1783373357,iotprojectmpc-n8n-1,0.98%,415.5MiB,2.355GiB,17.23%
1783373357,iotprojectmpc-postgres-1,0.03%,34.46MiB,2.355GiB,1.43%
1783373361,iotprojectmpc-n8n-1,5.89%,417.4MiB,2.355GiB,17.31%
1783373361,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783373366,iotprojectmpc-n8n-1,4.92%,417.5MiB,2.355GiB,17.32%
1783373366,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783373370,iotprojectmpc-n8n-1,3.24%,418.2MiB,2.355GiB,17.34%
1783373370,iotprojectmpc-postgres-1,0.01%,34.47MiB,2.355GiB,1.43%
1783373374,iotprojectmpc-n8n-1,4.68%,419MiB,2.355GiB,17.38%
1783373374,iotprojectmpc-postgres-1,1.66%,34.47MiB,2.355GiB,1.43%
1783373378,iotprojectmpc-n8n-1,0.48%,419.3MiB,2.355GiB,17.39%
1783373378,iotprojectmpc-postgres-1,0.44%,32.69MiB,2.355GiB,1.36%
1783373383,iotprojectmpc-n8n-1,6.89%,420.2MiB,2.355GiB,17.43%
1783373383,iotprojectmpc-postgres-1,1.78%,34.47MiB,2.355GiB,1.43%
1783373388,iotprojectmpc-n8n-1,0.30%,423MiB,2.355GiB,17.54%
1783373388,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783373392,iotprojectmpc-n8n-1,0.44%,423MiB,2.355GiB,17.54%
1783373392,iotprojectmpc-postgres-1,1.58%,32.71MiB,2.355GiB,1.36%
1783373397,iotprojectmpc-n8n-1,0.16%,423.4MiB,2.355GiB,17.56%
1783373397,iotprojectmpc-postgres-1,0.02%,32.69MiB,2.355GiB,1.36%
1783373401,iotprojectmpc-n8n-1,6.77%,424.2MiB,2.355GiB,17.59%
1783373401,iotprojectmpc-postgres-1,0.02%,34.46MiB,2.355GiB,1.43%
1783373406,iotprojectmpc-n8n-1,3.60%,424.5MiB,2.355GiB,17.61%
1783373406,iotprojectmpc-postgres-1,0.23%,34.47MiB,2.355GiB,1.43%
1783373410,iotprojectmpc-n8n-1,9.04%,425.3MiB,2.355GiB,17.64%
1783373410,iotprojectmpc-postgres-1,0.00%,34.47MiB,2.355GiB,1.43%
1783373415,iotprojectmpc-n8n-1,0.51%,425.1MiB,2.355GiB,17.63%
1783373415,iotprojectmpc-postgres-1,0.02%,34.47MiB,2.355GiB,1.43%
1783373420,iotprojectmpc-n8n-1,3.65%,425.2MiB,2.355GiB,17.64%
1783373420,iotprojectmpc-postgres-1,0.02%,34.48MiB,2.355GiB,1.43%
