ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783329729,iotprojectmpc-n8n-1,84.09%,516.5MiB,2.355GiB,21.42%
1783329729,iotprojectmpc-postgres-1,0.87%,62.13MiB,2.355GiB,2.58%
1783329734,iotprojectmpc-n8n-1,7.32%,491.5MiB,2.355GiB,20.38%
1783329734,iotprojectmpc-postgres-1,0.03%,62.14MiB,2.355GiB,2.58%
1783329739,iotprojectmpc-n8n-1,13.83%,509.1MiB,2.355GiB,21.11%
1783329739,iotprojectmpc-postgres-1,0.33%,62.14MiB,2.355GiB,2.58%
1783329743,iotprojectmpc-n8n-1,6.51%,520.7MiB,2.355GiB,21.59%
1783329743,iotprojectmpc-postgres-1,0.02%,62.14MiB,2.355GiB,2.58%
1783329747,iotprojectmpc-n8n-1,7.87%,417MiB,2.355GiB,17.30%
1783329747,iotprojectmpc-postgres-1,0.00%,62.15MiB,2.355GiB,2.58%
1783329751,iotprojectmpc-n8n-1,10.13%,419.3MiB,2.355GiB,17.39%
1783329751,iotprojectmpc-postgres-1,0.01%,62.14MiB,2.355GiB,2.58%
1783329756,iotprojectmpc-n8n-1,10.28%,423MiB,2.355GiB,17.54%
1783329756,iotprojectmpc-postgres-1,1.06%,62.2MiB,2.355GiB,2.58%
1783329760,iotprojectmpc-n8n-1,10.23%,423.7MiB,2.355GiB,17.57%
1783329760,iotprojectmpc-postgres-1,0.02%,62.15MiB,2.355GiB,2.58%
1783329764,iotprojectmpc-n8n-1,1.60%,425.7MiB,2.355GiB,17.66%
1783329764,iotprojectmpc-postgres-1,0.65%,62.25MiB,2.355GiB,2.58%
