ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783368237,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368242,iotprojectmpc-n8n-1,0.44%,411.1MiB,2.355GiB,17.05%
1783368242,iotprojectmpc-postgres-1,1.01%,32.67MiB,2.355GiB,1.36%
1783368246,iotprojectmpc-n8n-1,0.41%,411.9MiB,2.355GiB,17.08%
1783368246,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368251,iotprojectmpc-n8n-1,4.65%,411.9MiB,2.355GiB,17.09%
1783368251,iotprojectmpc-postgres-1,0.02%,32.67MiB,2.355GiB,1.36%
1783368256,iotprojectmpc-n8n-1,1.43%,412.2MiB,2.355GiB,17.10%
1783368256,iotprojectmpc-postgres-1,0.03%,32.67MiB,2.355GiB,1.35%
1783368260,iotprojectmpc-n8n-1,0.85%,412MiB,2.355GiB,17.09%
1783368260,iotprojectmpc-postgres-1,2.60%,32.67MiB,2.355GiB,1.35%
1783368265,iotprojectmpc-n8n-1,1.27%,412.2MiB,2.355GiB,17.10%
1783368265,iotprojectmpc-postgres-1,2.27%,32.68MiB,2.355GiB,1.36%
1783368269,iotprojectmpc-n8n-1,2.64%,412.2MiB,2.355GiB,17.09%
1783368269,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368274,iotprojectmpc-n8n-1,2.85%,412.4MiB,2.355GiB,17.10%
1783368274,iotprojectmpc-postgres-1,2.27%,32.68MiB,2.355GiB,1.36%
1783368279,iotprojectmpc-n8n-1,2.37%,412.2MiB,2.355GiB,17.10%
1783368279,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368283,iotprojectmpc-n8n-1,5.04%,413.2MiB,2.355GiB,17.14%
1783368283,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368287,iotprojectmpc-n8n-1,2.42%,413.5MiB,2.355GiB,17.15%
1783368287,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368291,iotprojectmpc-n8n-1,4.43%,414.3MiB,2.355GiB,17.18%
1783368291,iotprojectmpc-postgres-1,2.10%,34.45MiB,2.355GiB,1.43%
1783368295,iotprojectmpc-n8n-1,2.68%,414.6MiB,2.355GiB,17.20%
1783368295,iotprojectmpc-postgres-1,2.69%,32.67MiB,2.355GiB,1.36%
1783368300,iotprojectmpc-n8n-1,1.53%,414.6MiB,2.355GiB,17.20%
1783368300,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368304,iotprojectmpc-n8n-1,0.44%,415.4MiB,2.355GiB,17.23%
1783368304,iotprojectmpc-postgres-1,2.13%,34.44MiB,2.355GiB,1.43%
1783368309,iotprojectmpc-n8n-1,2.74%,415.6MiB,2.355GiB,17.24%
1783368309,iotprojectmpc-postgres-1,0.00%,34.44MiB,2.355GiB,1.43%
1783368314,iotprojectmpc-n8n-1,13.68%,416.1MiB,2.355GiB,17.26%
1783368314,iotprojectmpc-postgres-1,0.03%,34.44MiB,2.355GiB,1.43%
1783368318,iotprojectmpc-n8n-1,10.71%,417.2MiB,2.355GiB,17.30%
1783368318,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783368322,iotprojectmpc-n8n-1,0.75%,417.1MiB,2.355GiB,17.30%
1783368322,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783368326,iotprojectmpc-n8n-1,0.50%,417.1MiB,2.355GiB,17.30%
1783368326,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368331,iotprojectmpc-n8n-1,0.27%,417.1MiB,2.355GiB,17.30%
1783368331,iotprojectmpc-postgres-1,1.95%,32.67MiB,2.355GiB,1.36%
1783368336,iotprojectmpc-n8n-1,1.70%,417.7MiB,2.355GiB,17.32%
1783368336,iotprojectmpc-postgres-1,2.69%,32.67MiB,2.355GiB,1.36%
1783368340,iotprojectmpc-n8n-1,1.42%,417.6MiB,2.355GiB,17.32%
1783368340,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368344,iotprojectmpc-n8n-1,1.08%,417.6MiB,2.355GiB,17.32%
1783368344,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368348,iotprojectmpc-n8n-1,1.07%,417.1MiB,2.355GiB,17.30%
1783368348,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368353,iotprojectmpc-n8n-1,1.06%,417.2MiB,2.355GiB,17.30%
1783368353,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368357,iotprojectmpc-n8n-1,1.61%,418MiB,2.355GiB,17.34%
1783368357,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368362,iotprojectmpc-n8n-1,1.82%,418MiB,2.355GiB,17.34%
1783368362,iotprojectmpc-postgres-1,0.00%,34.44MiB,2.355GiB,1.43%
1783368367,iotprojectmpc-n8n-1,2.65%,418.1MiB,2.355GiB,17.34%
1783368367,iotprojectmpc-postgres-1,1.11%,32.67MiB,2.355GiB,1.35%
1783368370,iotprojectmpc-n8n-1,0.95%,417.8MiB,2.355GiB,17.33%
1783368370,iotprojectmpc-postgres-1,0.02%,32.67MiB,2.355GiB,1.35%
1783368375,iotprojectmpc-n8n-1,1.28%,418MiB,2.355GiB,17.34%
1783368375,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368379,iotprojectmpc-n8n-1,0.69%,419.2MiB,2.355GiB,17.39%
1783368379,iotprojectmpc-postgres-1,0.00%,34.44MiB,2.355GiB,1.43%
1783368383,iotprojectmpc-n8n-1,4.73%,419.4MiB,2.355GiB,17.39%
1783368383,iotprojectmpc-postgres-1,0.18%,34.44MiB,2.355GiB,1.43%
1783368388,iotprojectmpc-n8n-1,1.82%,419.8MiB,2.355GiB,17.41%
1783368388,iotprojectmpc-postgres-1,0.55%,32.67MiB,2.355GiB,1.36%
1783368392,iotprojectmpc-n8n-1,0.35%,419.5MiB,2.355GiB,17.40%
1783368392,iotprojectmpc-postgres-1,2.27%,32.66MiB,2.355GiB,1.35%
1783368397,iotprojectmpc-n8n-1,1.16%,419.7MiB,2.355GiB,17.41%
1783368397,iotprojectmpc-postgres-1,2.86%,32.67MiB,2.355GiB,1.35%
1783368402,iotprojectmpc-n8n-1,1.61%,420.1MiB,2.355GiB,17.42%
1783368402,iotprojectmpc-postgres-1,1.41%,32.67MiB,2.355GiB,1.36%
1783368406,iotprojectmpc-n8n-1,2.02%,420.2MiB,2.355GiB,17.43%
1783368406,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368411,iotprojectmpc-n8n-1,3.24%,420.2MiB,2.355GiB,17.43%
1783368411,iotprojectmpc-postgres-1,2.97%,32.66MiB,2.355GiB,1.35%
1783368414,iotprojectmpc-n8n-1,0.14%,420MiB,2.355GiB,17.42%
1783368414,iotprojectmpc-postgres-1,0.07%,32.67MiB,2.355GiB,1.36%
1783368418,iotprojectmpc-n8n-1,0.69%,421.2MiB,2.355GiB,17.47%
1783368418,iotprojectmpc-postgres-1,0.03%,34.45MiB,2.355GiB,1.43%
1783368421,iotprojectmpc-n8n-1,2.69%,421.4MiB,2.355GiB,17.48%
1783368421,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783368425,iotprojectmpc-n8n-1,1.53%,421.2MiB,2.355GiB,17.47%
1783368425,iotprojectmpc-postgres-1,0.22%,34.45MiB,2.355GiB,1.43%
1783368429,iotprojectmpc-n8n-1,1.68%,421.1MiB,2.355GiB,17.46%
1783368429,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783368433,iotprojectmpc-n8n-1,1.84%,421.3MiB,2.355GiB,17.48%
1783368433,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783368438,iotprojectmpc-n8n-1,0.81%,421.1MiB,2.355GiB,17.47%
1783368438,iotprojectmpc-postgres-1,6.35%,34.44MiB,2.355GiB,1.43%
1783368441,iotprojectmpc-n8n-1,3.82%,421.1MiB,2.355GiB,17.47%
1783368441,iotprojectmpc-postgres-1,0.02%,34.44MiB,2.355GiB,1.43%
1783368446,iotprojectmpc-n8n-1,0.97%,421.1MiB,2.355GiB,17.47%
1783368446,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368451,iotprojectmpc-n8n-1,0.69%,421.4MiB,2.355GiB,17.48%
1783368451,iotprojectmpc-postgres-1,0.04%,32.67MiB,2.355GiB,1.35%
1783368455,iotprojectmpc-n8n-1,0.40%,421.4MiB,2.355GiB,17.48%
1783368455,iotprojectmpc-postgres-1,0.09%,32.67MiB,2.355GiB,1.35%
1783368460,iotprojectmpc-n8n-1,0.86%,421.4MiB,2.355GiB,17.48%
1783368460,iotprojectmpc-postgres-1,0.04%,32.67MiB,2.355GiB,1.36%
1783368465,iotprojectmpc-n8n-1,0.95%,421.2MiB,2.355GiB,17.47%
1783368465,iotprojectmpc-postgres-1,0.04%,32.67MiB,2.355GiB,1.35%
1783368470,iotprojectmpc-n8n-1,1.94%,421.3MiB,2.355GiB,17.47%
1783368470,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368474,iotprojectmpc-n8n-1,2.18%,421.5MiB,2.355GiB,17.48%
1783368474,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783368479,iotprojectmpc-n8n-1,0.91%,421.3MiB,2.355GiB,17.47%
1783368479,iotprojectmpc-postgres-1,0.03%,32.67MiB,2.355GiB,1.36%
1783368483,iotprojectmpc-n8n-1,10.68%,421.2MiB,2.355GiB,17.47%
1783368483,iotprojectmpc-postgres-1,1.13%,32.67MiB,2.355GiB,1.36%
